PLAYER,POS,GROUP,STATUS,FCHL TEAM,NHL TEAM,AGE,SALARY,BID,PTS
Mark Jankowski,F,3,,UFA,NSH,30,0,0,21
Brendan Smith,D,3,,UFA,NJD,35,0,0,10
Jamie Oleksiak,D,3,,UFA,SEA,31,0,0,19
Conor Sheary,F,3,,UFA,TBL,32,0,0,22
Jesper Boqvist,F,3,,UFA,BOS,25,0,0,22
Brandon Carlo,D,3,,UFA,BOS,27,0,0,17
Zemgus Girgensons,F,3,,UFA,BUF,30,0.8,0,15
Logan Stankoven,F,A,MINOR,LGN,DAL,21,0.6,0,52
Jordan Harris,D,3,,UFA,MTL,24,0,0,19
Jeremy Lauzon,D,3,,UFA,NSH,27,0,0,15
Hudson Fasching,F,3,,UFA,NYI,29,0,0,16
Jacob Bernard-Docker,D,3,,UFA,OTT,24,0,0,16
Ryan Graves,D,3,,UFA,PIT,29,0.6,0,21
Tanner Jeannot,F,3,,UFA,TBL,27,0,0,22
Zach Bogosian,D,3,,UFA,MIN,34,0,0,11
Zach Whitecloud,D,3,,UFA,VGK,27,0,0,17
Nick Jensen,D,3,,UFA,WSH,33,0,0,20
Trevor van Riemsdyk,D,3,,UFA,WSH,33,0,0,17
Nate Schmidt,D,3,,UFA,WPG,33,0.5,0,16
Mason Lohrei,D,3,,UFA,BOS,23,0,0,24
Brett Pesce,D,3,,UFA,CAR,29,0.5,0,23
Jake Bean,D,3,,UFA,CBJ,26,0.5,0,22
Brandon Duhaime,F,3,,UFA,COL,27,0,0,15
Johnathan Kovacevic,D,3,,UFA,MTL,27,0,0,13
Justin Barron,D,3,START,SHF,MTL,22,0.5,0,25
Cody Glass,F,3,,UFA,NSH,25,0.5,0,25
Dante Fabbro,D,3,,UFA,NSH,26,0.5,0,19
Nick Seeler,D,3,,UFA,PHI,31,0,0,15
Nico Sturm,F,3,,UFA,SJS,29,0,0,19
Erik Cernak,D,3,,UFA,TBL,27,0,0,18
A.J. Greer,F,3,,UFA,BOS,27,0,0,14
Colin Blackwell,F,3,,UFA,CHI,31,0,0,14
Mathieu Olivier,F,3,,UFA,CBJ,27,0,0,12
Jani Hakanpaa,D,3,,UFA,DAL,32,0,0,13
Mattias Janmark,F,3,,UFA,EDM,31,0.7,0,16
Connor Brown,F,3,,UFA,EDM,30,0.8,0,18
Derek Ryan,F,3,,UFA,EDM,37,0,0,12
Carl Grundstrom,F,3,,UFA,LAK,26,0,0,16
Michael Pezzetta,F,3,,UFA,MTL,26,0,0,17
Juuso Parssinen,F,3,,UFA,NSH,23,0,0,29
Nathan Bastian,F,3,,UFA,NJD,26,0,0,17
Barclay Goodrow,F,3,,UFA,NYR,31,0.8,0,19
Marc-Edouard Vlasic,D,3,,UFA,SJS,37,0.5,0,13
Nicolas Hague,D,3,,UFA,VGK,25,0,0,17
Noah Gregor,F,3,,UFA,TOR,32,0,0,15
Isac Lundestrom,F,3,,UFA,ANA,24,0,0,21
Matt Grzelcyk,D,3,,UFA,BOS,30,1.6,0,19
Vincent Desharnais,D,3,,UFA,EDM,28,0,0,13
Kevin Bahl,D,3,,UFA,NJD,24,0,0,21
Pierre-Olivier Joseph,D,3,,UFA,PIT,25,0,0,15
Thomas Bordeleau,F,A,MINOR,ZSK,SJS,22,0.5,0,25
Henry Thrun,D,3,,UFA,SJS,23,0,0,25
Luke Glendening,F,3,,UFA,TBL,35,0,0,8
Ian Cole,D,3,,UFA,VAN,35,0.6,0,14
Jamie Drysdale,D,C,START,VPP,PHI,22,0.5,0,27
Barrett Hayton,F,C,MINOR,BOT,UTH,24,0.6,0,32
John Beecher,F,3,,UFA,BOS,23,0,0,16
Jakub Lauko,F,3,,UFA,BOS,24,0,0,15
Andrew Peeke,D,3,,UFA,BOS,26,0,0,16
Adam Boqvist,D,C,MINOR,ZSK,CBJ,24,0.5,0,28
David Jiricek,D,A,MINOR,SRL,CBJ,20,0.5,0,19
Rafael Harvey-Pinard,F,3,,UFA,MTL,25,0,0,19
Arber Xhekaj,D,3,,UFA,MTL,23,0,0,16
Ty Emberson,D,3,,UFA,NYR,24,0,0,23
Mark Kastelic,F,3,,UFA,OTT,25,0,0,14
Calvin de Haan,D,3,,UFA,TBL,33,0,0,12
Conor Timmins,D,3,,UFA,TOR,25,0.5,0,19
Olen Zellweger,D,A,MINOR,ZSK,ANA,21,0.5,0,33
Josh Doan,F,3,,UFA,UTH,22,0,0,40
Andreas Athanasiou,F,3,,UFA,CHI,30,0,0,32
Patrik Laine,F,3,START,JHN,CBJ,26,2.3,0,51
Ty Dellandrea,F,C,MINOR,BOT,DAL,24,0.5,0,21
Dylan Holloway,F,A,MINOR,BOT,STL,22,0.7,0,31
Christian Dvorak,F,3,,UFA,MTL,28,0.9,0,21
Joshua Roy,F,3,,UFA,MTL,21,0,0,29
Jonas Siegenthaler,D,3,,UFA,NJD,27,0,0,16
Colin Miller,D,3,,UFA,NJD,31,0.9,0,14
Kyle MacLean,F,3,,UFA,NYI,25,0,0,15
Zac Jones,D,3,,UFA,NYR,23,0,0,17
Ryker Evans,D,3,,UFA,SEA,22,0,0,19
Kaedan Korczak,D,3,,UFA,VGK,23,0,0,18
Declan Chisholm,D,3,,UFA,WPG,24,0,0,20
Tyler Motte,F,3,,UFA,TBL,29,0,0,14
Joel Kiviranta,F,3,,UFA,COL,28,0,0,11
Ilya Lyubushkin,D,3,,UFA,TOR,30,0,0,13
Connor Murphy,D,3,,UFA,CHI,31,0,0,12
William Carrier,F,3,,UFA,VGK,29,0,0,23
Brendan Brisson,F,A,MINOR,BOT,VGK,22,0.5,0,25
Mattias Samuelsson,D,3,,UFA,BUF,24,0,0,14
Wyatt Kaiser,D,3,,UFA,CHI,22,0,0,16
Ryan Lomberg,F,3,,UFA,FLA,29,0,0,12
Luke Schenn,D,3,,UFA,NSH,34,0,0,13
Noel Acciari,F,3,,UFA,PIT,32,0,0,11
Matthew Kessel,D,3,,UFA,STL,24,0,0,15
Mitchell Chaffee,F,3,,UFA,TBL,26,0,0,13
Brayden Pachal,D,3,,UFA,VGK,25,0,0,11
Daniil Miromanov,D,3,,UFA,VGK,27,0,0,21
David Gustafsson,F,3,,UFA,WPG,24,0,0,11
Justin Brazeau,F,3,,UFA,BOS,26,0,0,24
Jonatan Berggren,F,C,MINOR,ZSK,DET,24,0.5,0,32
Brandt Clarke,D,A,MINOR,LGN,LAK,21,0.5,0,33
Tomas Nosek,F,3,,UFA,NJD,32,0,0,13
Filip Chytil,F,RFA1,,RFA,NYR,25,0.6,0,40
Travis Hamonic,D,3,,UFA,OTT,34,0,0,12
Carson Soucy,D,3,,UFA,VAN,30,0,0,15
Ivan Miroshnichenko,F,A,MINOR,LPT,WSH,20,0.5,0,23
Joel Edmundson,D,3,,UFA,TOR,31,0,0,10
Justin Holl,D,3,,UFA,DET,32,0,0,10
Jared Spurgeon,D,3,,UFA,MIN,34,0.7,0,26
Scott Mayfield,D,3,,UFA,NYI,31,0.5,0,13
Samuel Bolduc,D,3,,UFA,NYI,23,0,0,13
Shane Wright,F,A,MINOR,BOT,SEA,20,0.9,0,42
Haydn Fleury,D,3,,UFA,TBL,28,0,0,6
Derek Forbort,D,3,,UFA,BOS,32,0,0,10
Kevin Rooney,F,3,,UFA,CGY,31,0,0,6
Taylor Hall,F,3,,UFA,CHI,32,0.6,0,37
Alex Turcotte,F,B,MINOR,GVR,LAK,23,0.8,0,17
Spencer Stastney,D,3,,UFA,NSH,24,0,0,15
Rasmus Ristolainen,D,3,,UFA,PHI,29,0.8,0,14
Brock McGinn,F,3,,UFA,ANA,30,0,0,16
Zack MacEwen,F,3,,UFA,OTT,28,3.2,0,6
Simon Edvinsson,D,A,MINOR,LGN,DET,21,0.5,0,21
Philip Broberg,D,3,,UFA,EDM,23,0,0,25
Kirby Dach,F,C,MINOR,LPT,MTL,23,0.9,0,39
Lane Hutson,D,A,MINOR,ZSK,MTL,20,0.5,0,23
Santeri Hatakka,D,3,,UFA,NJD,23,0,0,7
Matt Rempe,F,3,,UFA,NYR,22,0,0,6
Vasily Podkolzin,F,B,MINOR,BOT,VAN,23,0.5,0,19
Logan Stanley,D,3,,UFA,WPG,26,0,0,8
Cutter Gauthier,F,A,MINOR,LPT,ANA,20,0.8,0,39
Logan Couture,F,3,,UFA,SJS,35,1.3,0,45
Victor Soderstrom,D,3,,UFA,UTH,23,0,0,14
Bradly Nadeau,F,3,,UFA,CAR,19,0,0,30
Gabriel Landeskog,F,3,START,GVR,COL,31,5.2,0,29
Mavrik Bourque,F,A,MINOR,VPP,DAL,22,0.5,0,26
Igor Shesterkin,G,RFA2,,RFA,NYR,28,4,0,90
Connor Hellebuyck,G,3,START,HSM,WPG,31,7.1,0,85
Jake Oettinger,G,RFA1,,RFA,DAL,25,1.4,0,86
Juuse Saros,G,3,START,ZSK,NSH,29,2.4,0,83
Stuart Skinner,G,RFA1,,RFA,EDM,25,1.2,0,81
Sergei Bobrovsky,G,3,,UFA,FLA,35,2.8,0,79
Jeremy Swayman,G,3,START,GVR,BOS,25,1.4,0,76
Andrei Vasilevskiy,G,3,,UFA,TBL,30,8.6,0,75
Ukko-Pekka Luukkonen,G,RFA1,,RFA,BUF,25,0.5,0,60
Alexandar Georgiev,G,3,START,HSM,COL,28,4.7,0,70
Pyotr Kochetkov,G,D,START,BOT,CAR,25,1.2,0,62
Thatcher Demko,G,3,START,LGN,VAN,28,3,0,74
Jacob Markstrom,G,3,,UFA,CGY,34,2.2,0,70
Jack Hughes,F,3,,UFA,LAK,20,0,0,95
Jordan Binnington,G,3,,UFA,STL,31,3.5,0,59
Cam Talbot,G,3,,UFA,LAK,37,1.9,0,53
Ilya Sorokin,G,3,,UFA,NYI,29,6.5,0,68
Linus Ullmark,G,3,,UFA,BOS,31,6.5,0,61
Connor Ingram,G,3,START,BOT,UTH,27,0.5,0,59
Filip Gustavsson,G,2,START,LPT,MIN,26,3.2,0,61
Samuel Ersson,G,3,START,BOT,PHI,24,0.5,0,54
Joey Daccord,G,3,,UFA,SEA,28,0,0,55
Dustin Wolf,G,B,MINOR,BOT,CGY,23,0.5,0,49
Logan Thompson,G,3,,UFA,VGK,27,0.5,0,45
Adin Hill,G,3,START,SRL,VGK,28,1,0,57
Ilya Samsonov,G,3,MINOR,BOT,TOR,27,3.2,0,43
Frederik Andersen,G,3,,UFA,CAR,34,1.6,0,54
Anthony Stolarz,G,3,,UFA,FLA,30,0,0,50
Justus Annunen,G,C,MINOR,LPT,COL,24,0.5,0,41
Joseph Woll,G,E,MINOR,GVR,TOR,26,0.5,0,56
Arturs Silovs,G,B,MINOR,LPT,VAN,23,0.5,0,37
Tristan Jarry,G,3,,UFA,PIT,29,3.3,0,51
Cayden Primeau,G,D,MINOR,LPT,MTL,25,0.5,0,34
Charlie Lindgren,G,3,,UFA,WSH,30,0.5,0,45
Lukas Dostal,G,C,MINOR,ZSK,ANA,24,0.5,0,35
Karel Vejmelka,G,3,,UFA,UTH,28,0,0,37
Jonathan Quick,G,3,,UFA,NYR,38,1.5,0,29
Joel Hofer,G,C,MINOR,BOT,STL,24,0.5,0,31
Petr Mrazek,G,3,,UFA,CHI,32,1.1,0,36
Sam Montembeault,G,3,MINOR,BOT,MTL,27,0.5,0,42
David Rittich,G,3,,UFA,LAK,32,0.5,0,33
Anton Forsberg,G,3,,UFA,OTT,31,0,0,33
Elvis Merzlikins,G,3,,UFA,CBJ,30,1.2,0,36
Ivan Fedotov,G,3,,UFA,PHI,27,0,0,32
Semyon Varlamov,G,3,,UFA,NYI,36,0.5,0,32
Matvei Michkov,F,A,MINOR,GVR,PHI,19,0.8,0,58
Calvin Pickard,G,3,,UFA,EDM,32,0,0,32
Mackenzie Blackwood,G,3,,UFA,SJS,27,0.6,0,27
Spencer Knight,G,B,MINOR,GVR,FLA,23,0.5,0,30
Alex Nedeljkovic,G,3,,UFA,PIT,28,0,0,32
Marc-Andre Fleury,G,3,,UFA,MIN,39,0.5,0,32
Philipp Grubauer,G,3,,UFA,SEA,32,2.2,0,34
John Gibson,G,3,MINOR,BOT,ANA,31,0.5,0,33
Laurent Brossoit,G,3,,UFA,WPG,31,0,0,32
Will Smith,F,A,MINOR,VPP,SJS,19,0.8,0,48
Matt Benning,D,3,,UFA,SJS,30,0,0,15
Darcy Kuemper,G,3,,UFA,WSH,34,2.5,0,47
Scott Wedgewood,G,3,,UFA,DAL,32,0,0,25
Kaapo Kahkonen,G,3,,UFA,NJD,28,0.5,0,24
Joonas Korpisalo,G,3,,UFA,OTT,30,0.9,0,28
Zachary Bolduc,F,A,MINOR,LGN,STL,21,0.5,0,10
Tim Stutzle,F,B,START,BOT,OTT,22,2.5,0,83
Alexis Lafreniere,F,A,START,GVR,NYR,22,0.9,0,66
Tommy Novak,F,3,,UFA,NSH,27,0.8,0,54
Nicholas Paul,F,3,,UFA,TBL,29,0,0,38
Nikolai Kovalenko,F,3,,UFA,COL,24,0,0,19
Alexander Holtz,F,A,MINOR,LGN,NJD,22,0.7,0,39
J.J. Moser,D,3,,UFA,UTH,24,0.5,0,29
Mackie Samoskevich,F,A,MINOR,ZSK,FLA,21,0.5,0,17
Alexandre Texier,F,3,,UFA,CBJ,25,0,0,30
Daniel Vladar,G,3,,UFA,CGY,27,0.5,0,16
Max Pacioretty,F,3,,UFA,WSH,35,0.5,0,16
Peyton Krebs,F,B,MINOR,BOT,BUF,23,0.5,0,16
Taylor Raddysh,F,3,,UFA,CHI,26,0.5,0,16
Erik Gustafsson,D,3,,UFA,NYR,32,0.7,0,15
Fabian Lysell,F,A,MINOR,LGN,BOS,21,0.5,0,15
Alexander Wennberg,F,3,,UFA,NYR,29,0,0,29
Justin Schultz,D,3,,UFA,SEA,34,0.5,0,15
Alexander Romanov,D,C,START,LGN,NYI,24,0.5,0,25
Alexander Barabanov,F,3,,UFA,SJS,30,0,0,15
Mike Hoffman,F,3,,UFA,SJS,34,1.4,0,14
Dominik Kubalik,F,3,,UFA,OTT,29,1.8,0,14
Daniil Tarasov,G,D,MINOR,ZSK,CBJ,25,0.5,0,14
T.J. Oshie,F,3,,UFA,WSH,37,0.8,0,13
Oliver Kylington,D,3,,UFA,CGY,27,0.5,0,13
Jake Allen,G,3,,UFA,NJD,34,0.6,0,28
Alex Lyon,G,3,,UFA,DET,31,0,0,29
Casey DeSmith,G,3,,UFA,VAN,33,0.5,0,13
Jonas Johansson,G,3,,UFA,TBL,28,0,0,21
James Reimer,G,3,,UFA,DET,36,0.6,0,13
Tyler Johnson,F,3,,UFA,CHI,34,0.5,0,13
Will Borgen,D,3,,UFA,SEA,27,0,0,13
Alexey Toropchenko,F,3,,UFA,STL,25,0,0,13
Kailer Yamamoto,F,3,,UFA,SEA,25,0.7,0,13
Akil Thomas,F,3,,UFA,LAK,24,0,0,13
Marat Khusnutdinov,F,3,,UFA,MIN,22,0,0,13
Shakir Mukhamadullin,D,3,,UFA,SJS,22,0,0,13
Evgenii Dadonov,F,3,,UFA,DAL,35,0.5,0,12
Jake Middleton,D,3,,UFA,MIN,28,0,0,12
James Malatesta,F,3,,UFA,CBJ,21,0,0,12
Jakob Pelletier,F,B,MINOR,BOT,CGY,23,0.5,0,11
Vitek Vanecek,G,3,,UFA,SJS,28,5.5,0,11
Tyson Barrie,D,3,,UFA,NSH,33,1.7,0,11
Klim Kostin,F,3,,UFA,SJS,25,0.1,0,11
Mathew Dumba,D,3,,UFA,TBL,30,0.6,0,11
John Klingberg,D,3,,UFA,TOR,32,1.1,0,11
Nick Cousins,F,3,,UFA,FLA,31,0,0,10
Jesse Ylonen,F,3,,UFA,MTL,24,0,0,10
Nolan Foote,F,3,,UFA,NJD,23,0,0,10
Alexandre Carrier,D,3,,UFA,NSH,27,0.5,0,10
Calen Addison,D,C,MINOR,BOT,SJS,24,0.8,0,10
Sam Malinski,D,3,,UFA,COL,26,0,0,10
Samuel Fagemo,F,C,MINOR,SHF,LAK,24,0.5,0,10
Adam Beckman,F,3,,UFA,MIN,23,0,0,9
Tyler Kleven,D,3,,UFA,OTT,22,0,0,9
Craig Smith,F,3,,UFA,DAL,35,0.6,0,9
Eric Robinson,F,3,,UFA,BUF,29,0,0,9
Pat Maroon,F,3,,UFA,BOS,36,0,0,8
Urho Vaakanainen,D,3,,UFA,ANA,25,0,0,8
Tyson Jost,F,3,,UFA,BUF,26,0.5,0,8
Oliver Wahlstrom,F,C,MINOR,VPP,NYI,24,0.8,0,8
Jesse Puljujarvi,F,3,,UFA,PIT,26,0.9,0,8
Ville Husso,G,3,START,JHN,DET,29,2.3,0,8
Ville Heinola,D,3,,UFA,WPG,23,0.5,0,8
Filip Zadina,F,C,MINOR,VPP,SJS,24,0.9,0,8
Trevor Lewis,F,3,,UFA,LAK,37,0,0,8
Devon Levi,G,A,MINOR,GVR,BUF,22,0.5,0,27
Jayden Struble,D,3,,UFA,MTL,23,0,0,8
Josh Mahura,D,3,,UFA,FLA,26,0,0,8
Julien Gauthier,F,3,,UFA,NYI,26,0.5,0,8
Kevin Labanc,F,3,,UFA,SJS,28,1.2,0,8
Cole Guttman,F,3,,UFA,CHI,25,0,0,8
Jan Jenik,F,C,MINOR,BOT,UTH,24,0.5,0,8
Kevin Stenlund,F,3,,UFA,FLA,27,0,0,7
MacKenzie Entwistle,F,3,,UFA,CHI,25,0,0,7
Uvis Balinskis,D,3,,UFA,FLA,28,0,0,7
Tanner Pearson,F,3,,UFA,MTL,32,0.5,0,7
Jon Merrill,D,3,,UFA,MIN,32,0,0,7
Andreas Englund,D,3,,UFA,LAK,28,0,0,7
Jacob Bryson,D,3,,UFA,BUF,26,0,0,7
Matt Nieto,F,3,,UFA,PIT,31,0,0,7
Lukas Rousek,F,3,,UFA,BUF,25,0,0,7
Emil Andrae,D,3,,UFA,PHI,22,0,0,7
Gage Goncalves,F,3,,UFA,TBL,23,0,0,7
Sam Carrick,F,3,,UFA,EDM,32,0,0,6
Troy Stecher,D,3,,UFA,EDM,30,0.6,0,6
Sammy Blais,F,3,,UFA,STL,28,0,0,6
Ethan Bear,D,3,,UFA,WSH,27,0,0,6
Nikita Alexandrov,F,3,,UFA,STL,23,0,0,6
Alec Regula,D,3,,UFA,BOS,24,0,0,6
Ty Smith,D,C,MINOR,JHN,CAR,24,0.5,0,6
Erik Portillo,G,3,,UFA,LAK,24,0,0,6
Josh Brown,D,3,,UFA,UTH,30,0,0,6
Phillip Di Giuseppe,F,3,,UFA,VAN,30,0,0,6
Ben Hutton,D,3,,UFA,VGK,31,0,0,6
Ryan Johnson,D,3,,UFA,BUF,23,0,0,6
Nils Aman,F,3,,UFA,VAN,24,0,0,6
Steven Lorentz,F,3,,UFA,FLA,28,0,0,6
Jean-Luc Foudy,F,3,,UFA,COL,22,0,0,6
Linus Karlsson,F,3,,UFA,VAN,24,0,0,6
Alex Nylander,F,3,,UFA,CBJ,26,0.7,0,5
Ilya Solovyov,D,3,,UFA,CGY,24,0,0,5
Trey Fix-Wolansky,F,3,,UFA,CBJ,25,0,0,5
Liam Ohgren,F,A,MINOR,ZSK,MIN,20,0.5,0,5
Grigori Denisenko,F,C,MINOR,BOT,FLA,24,0.5,0,5
Zack Ostapchuk,F,3,,UFA,OTT,21,0,0,5
Fraser Minten,F,3,,UFA,TOR,20,0,0,5
Emil Bemstrom,F,3,,UFA,PIT,25,0.5,0,5
Travis Boyd,F,3,,UFA,UTH,31,0,0,5
Noah Juulsen,D,3,,UFA,VAN,27,0,0,5
Jansen Harkins,F,3,,UFA,WPG,27,0,0,5
Brandon Biro,F,3,,UFA,BUF,26,0,0,5
Ronnie Attard,D,3,,UFA,PHI,25,0.5,0,5
Rasmus Kupari,F,3,,UFA,WPG,24,0,0,5
Raphael Lavoie,F,3,,UFA,EDM,23,0,0,5
Ryan Carpenter,F,3,,UFA,SJS,33,0,0,4
Jacob MacDonald,D,3,,UFA,SJS,31,0,0,4
Alex Barre-Boulet,F,3,,UFA,TBL,27,0.5,0,4
Vladislav Kolyachonok,D,3,,UFA,UTH,23,0,0,4
Tyler Pitlick,F,3,,UFA,NYR,32,0,0,4
Nicolas Deslauriers,F,3,,UFA,PHI,33,0,0,4
Austin Watson,F,3,,UFA,TBL,32,0,0,4
Alexander Alexeyev,D,3,,UFA,WSH,24,0,0,4
Frank Nazar,F,A,MINOR,BOT,CHI,20,0.5,0,4
Jiri Kulich,F,A,MINOR,LGN,BUF,20,0.6,0,4
Scott Morrow,D,3,,UFA,CAR,21,0,0,4
Egor Sokolov,F,3,,UFA,OTT,24,0,0,4
Pheonix Copley,G,3,,UFA,LAK,32,0.7,0,4
Matt Murray,G,3,,UFA,DAL,26,0,0,4
Jesper Wallstedt,G,A,MINOR,SRL,MIN,21,0.5,0,4
Matt Murray,G,3,,UFA,TOR,30,0.5,0,4
Jet Greaves,G,3,,UFA,CBJ,23,0,0,4
Jarred Tinordi,D,3,,UFA,CHI,32,0,0,4
Kyle Burroughs,D,3,,UFA,SJS,29,0,0,4
Walker Duehr,F,3,,UFA,CGY,26,0,0,4
Zachary Sanford,F,3,,UFA,UTH,29,0.6,0,4
Reese Johnson,F,3,,UFA,CHI,26,0,0,4
Axel Jonsson-Fjallby,F,3,,UFA,WPG,26,0,0,4
Nick Blankenburg,D,3,,UFA,CBJ,26,0,0,4
Jacob Moverare,D,3,,UFA,LAK,26,0,0,4
Elias Pettersson,D,3,,UFA,VAN,20,0,0,4
Conor Geekie,F,A,MINOR,VPP,UTH,20,0.7,0,4
Brennan Othmann,F,A,MINOR,ZSK,NYR,21,0.5,0,4
Ben Harpur,D,3,,UFA,NYR,29,0,0,4
Marco Scandella,D,3,,UFA,STL,34,0,0,3
Erik Johnson,D,3,,UFA,PHI,36,0.5,0,3
Brendan Lemieux,F,3,,UFA,CAR,28,0,0,3
Jaret Anderson-Dolan,F,3,,UFA,LAK,25,0,0,3
Jordan Oesterle,D,3,,UFA,CGY,32,0,0,3
Kurtis MacDermid,D,3,,UFA,NJD,30,0,0,3
Jaycob Megna,D,3,,UFA,SEA,31,0,0,3
Daemon Hunt,D,3,,UFA,MIN,22,0,0,3
Logan Mailloux,D,3,,UFA,MTL,21,0,0,3
Ryan Shea,D,3,,UFA,PIT,27,0,0,3
Tobias Bjornfot,D,3,,UFA,FLA,23,0,0,3
Arvid Soderblom,G,3,,UFA,CHI,25,0,0,3
Ryan Reaves,F,3,,UFA,TOR,37,0,0,3
Tristan Luneau,D,3,,UFA,ANA,20,0,0,3
Liam Foudy,F,3,,UFA,CBJ,24,0,0,3
Vinnie Hinostroza,F,3,,UFA,PIT,30,0.5,0,3
Tyler Tucker,D,3,,UFA,STL,24,0,0,3
Nikita Nesterenko,F,3,,UFA,ANA,23,0,0,3
Filip Roos,D,3,,UFA,CHI,25,0,0,3
Gavin Brindley,F,3,,UFA,CBJ,19,0,0,3
Matej Blumel,F,3,,UFA,DAL,24,0,0,3
Nathan Walker,F,3,,UFA,STL,30,0,0,2
Dryden Hunt,F,3,,UFA,CGY,28,0,0,2
Joel Hanley,D,3,,UFA,DAL,33,0,0,2
Chad Ruhwedel,D,3,,UFA,PIT,34,0,0,2
Pavol Regenda,F,3,,UFA,ANA,24,0,0,2
Ville Koivunen,F,3,,UFA,PIT,21,0,0,2
Elmer Soderblom,F,3,,UFA,DET,23,0,0,2
Joakim Kemell,F,A,MINOR,LGN,NSH,20,0.7,0,2
Gabriel Fortier,F,3,,UFA,TBL,24,0,0,2
Mikko Kokkonen,D,3,,UFA,TOR,23,0,0,2
Nico Daws,G,3,,UFA,NJD,23,0,0,2
Spencer Martin,G,3,,UFA,VAN,29,0,0,2
Akira Schmid,G,3,START,GVR,NJD,24,0.6,0,2
Chris Driedger,G,3,,UFA,SEA,30,1,0,2
Brandon Bussi,G,3,,UFA,BOS,26,0,0,2
Ben Meyers,F,3,,UFA,COL,25,0,0,2
Jonas Rondbjerg,F,3,,UFA,VGK,25,0,0,2
Ian Mitchell,D,3,,UFA,BOS,25,0,0,2
William Lockwood,F,3,,UFA,FLA,26,0,0,2
Yaroslav Askarov,G,A,MINOR,GVR,NSH,22,0.8,0,18
Roby Jarventie,F,3,,UFA,OTT,22,0,0,2
Calle Rosen,D,3,,UFA,STL,30,0,0,2
Dylan Coghlan,D,3,,UFA,CAR,26,0,0,2
Nate Danielson,F,A,MINOR,SHF,DET,19,0.5,0,2
Sammy Walker,F,3,,UFA,MIN,25,0,0,2
Graeme Clarke,F,3,,UFA,NJD,23,0,0,2
Easton Cowan,F,3,,UFA,TOR,19,0,0,2
Arshdeep Bains,F,3,,UFA,VAN,23,0,0,2
Cole McWard,D,3,,UFA,VAN,23,0,0,2
Joe Snively,F,3,,UFA,WSH,28,0,0,2
Vincent Iorio,D,3,,UFA,WSH,21,0,0,2
Ross Johnston,F,3,,UFA,NYI,30,0,0,1
Givani Smith,F,3,,UFA,SJS,26,0,0,1
James Hamblin,F,3,,UFA,EDM,25,0,0,1
Adam Edstrom,F,3,,UFA,NYR,23,0,0,1
Marc McLaughlin,F,3,,UFA,BOS,25,0,0,1
Patrick Brown,F,3,,UFA,BOS,32,0,0,1
Mark Friedman,D,3,,UFA,PIT,28,0,0,1
Marco Kasper,F,A,MINOR,SRL,DET,20,0.5,0,1
Kole Lind,F,3,,UFA,SEA,25,0,0,1
Cale Fleury,D,3,,UFA,SEA,25,0,0,1
Jonathan Lekkerimaki,F,A,MINOR,VPP,VAN,20,0.5,0,1
Cal Petersen,G,3,MINOR,BOT,PHI,29,0.5,0,1
Louis Domingue,G,3,,UFA,NYR,32,0.5,0,1
Mads Sogaard,G,3,,UFA,OTT,23,0,0,1
Dakota Mermis,D,3,,UFA,MIN,30,0,0,1
William Dufour,F,3,,UFA,NYI,22,0,0,1
Zach Dean,F,3,,UFA,STL,21,0,0,1
Topi Niemela,D,A,MINOR,LPT,TOR,22,0.5,0,1
Ryan Johansen,F,3,,UFA,PHI,32,2.2,0,0
Tony DeAngelo (NCM),D,C,MINOR,BOT,UFA,28,3,0,0
Jakub Vrana,F,3,,UFA,STL,28,1.5,0,0
Lukas Cormier,D,A,MINOR,ZSK,VGK,22,0.5,0,0
Nikita Chibrikov,F,A,MINOR,SRL,WPG,21,0.5,0,0
Dmitriy Simashev,D,A,MINOR,LGN,UTH,19,0.5,0,0
Isak Rosen,F,A,MINOR,LGN,BUF,21,0.5,0,0
Matthew Savoie,F,A,MINOR,VPP,BUF,20,0.8,0,0
Noah Ostlund,F,A,MINOR,ZSK,BUF,20,0.5,0,0
Matthew Coronato,F,A,MINOR,LPT,CGY,21,0.5,0,0
Noel Gunler,F,A,MINOR,BOT,CAR,22,0.5,0,0
Jayden Perron,F,A,MINOR,BOT,CAR,19,0.5,0,0
Alexander Nikishin,D,A,MINOR,SRL,CAR,22,0.6,0,0
Oliver Moore,F,A,MINOR,LGN,CHI,19,0.5,0,0
Rutger McGroarty,F,3,,UFA,WPG,20,0,0,0
Jordan Dumais,F,A,MINOR,BOT,CBJ,20,0.5,0,0
Denton Mateychuk,D,A,MINOR,JHN,CBJ,20,0.5,0,0
Christian Kyrou,D,A,MINOR,GVR,DAL,20,0.5,0,0
Xavier Bourgault,F,A,MINOR,GVR,EDM,21,0.5,0,0
Tyler Madden,F,C,MINOR,BOT,LAK,24,0.5,0,0
Danila Yurov,F,A,MINOR,SRL,MIN,20,0.5,0,0
David Reinbacher,D,A,MINOR,SRL,MTL,19,0.7,0,0
Matthew Wood,F,A,MINOR,VPP,NSH,19,0.5,0,0
Gabriel Perreault,F,A,MINOR,BOT,NYR,19,0.5,0,0
Sam Poulin,F,B,MINOR,BOT,PIT,23,0.5,0,0
Quentin Musty,F,A,MINOR,LGN,SJS,19,0.5,0,0
Dalibor Dvorsky,F,A,MINOR,JHN,STL,19,0.7,0,0
Jimmy Snuggerud,F,A,MINOR,LGN,STL,20,0.6,0,0
