PLAYER,POS,GROUP,STATUS,FCHL TEAM,NHL TEAM,AGE,SALARY,BID,PTS
Zach Hyman,F,3,,UFA,EDM,32,1.9,0,78
Nick Suzuki,F,2,START,ZSK,MTL,25,3,0,79
Vincent Trocheck,F,3,,UFA,NYR,31,1.4,0,71
Jake Guentzel,F,3,,UFA,CAR,29,5.7,0,85
Clayton Keller,F,2,START,BOT,UTH,26,2,0,81
Victor Hedman,D,3,,UFA,TBL,33,6.1,0,71
Nazem Kadri,F,3,,UFA,CGY,33,3.6,0,68
Adrian Kempe,F,3,,UFA,LAK,28,1.3,0,71
Gustav Nyquist,F,3,,UFA,NSH,35,2.1,0,51
Chris Kreider,F,3,,UFA,NYR,33,1.1,0,65
Brandon Hagel,F,3,START,MAC,TBL,26,1,0,73
Jack Hughes,F,C,START,HSM,NJD,23,2.5,0,95
Brady Tkachuk,F,2,START,VPP,OTT,24,3,0,77
Kevin Fiala,F,3,,UFA,LAK,28,3.8,0,75
Adam Fox,D,2,START,ZSK,NYR,26,5,0,75
Brock Boeser,F,RFA2,,RFA,VAN,27,1.4,0,64
Lucas Raymond,F,RFA1,,RFA,DET,22,1.6,0,74
Carter Verhaeghe,F,3,,UFA,FLA,29,3.1,0,72
Mika Zibanejad,F,3,,UFA,NYR,31,6,0,76
Mark Scheifele,F,3,,UFA,WPG,31,2.8,0,71
Anze Kopitar,F,3,,UFA,LAK,37,2.6,0,66
Noah Dobson,D,C,START,HSM,NYI,24,1.4,0,70
Dylan Larkin,F,2,START,JHN,DET,28,2.4,0,75
Ryan O'Reilly,F,3,,UFA,NSH,33,0.5,0,57
Brock Nelson,F,3,,UFA,NYI,32,2.1,0,67
Jonathan Marchessault,F,3,,UFA,VGK,33,2.6,0,63
Josh Morrissey,D,3,START,ZSK,WPG,29,4.8,0,68
Matt Boldy,F,C,START,GVR,MIN,23,1.4,0,71
Bo Horvat,F,3,,UFA,NYI,29,1.8,0,68
Travis Konecny,F,3,START,BOT,PHI,27,2.8,0,72
Jack Eichel,F,2,START,SRL,VGK,27,6.6,0,72
Brad Marchand,F,3,,UFA,BOS,36,3.6,0,63
Seth Jarvis,F,C,START,GVR,CAR,22,1.7,0,70
Alex DeBrincat,F,2,START,LPT,DET,26,3.2,0,69
Ryan Nugent-Hopkins,F,3,START,ZSK,EDM,31,4.5,0,74
Nico Hischier,F,RFA1,,RFA,NJD,25,2.5,0,75
Evgeni Malkin,F,3,,UFA,PIT,38,3.5,0,65
Jordan Kyrou,F,2,START,JHN,STL,26,4,0,73
Dylan Strome,F,2,START,JHN,WSH,27,0.9,0,69
Drake Batherson,F,2,START,BOT,OTT,26,1.7,0,65
Roope Hintz,F,3,START,ZSK,DAL,27,4.5,0,75
Wyatt Johnston,F,A,MINOR,GVR,DAL,21,0.7,0,71
Matt Duchene,F,3,,UFA,DAL,33,0.9,0,58
Cole Caufield,F,2,START,BOT,MTL,23,3,0,69
John Tavares,F,3,,UFA,TOR,33,4.3,0,68
Alex Ovechkin,F,3,,UFA,WSH,38,4.2,0,67
Joel Eriksson Ek,F,3,,UFA,MIN,27,1.6,0,62
Claude Giroux,F,3,,UFA,OTT,36,2.5,0,62
Mats Zuccarello,F,3,,UFA,MIN,37,2.4,0,56
Pavel Buchnevich,F,3,START,ZSK,STL,29,2.4,0,69
Mike Matheson,D,3,,UFA,MTL,30,1.2,0,52
Jared McCann,F,3,,UFA,SEA,28,3,0,66
Nick Schmaltz,F,3,,UFA,UTH,28,1,0,63
Connor Bedard,F,A,MINOR,LGN,CHI,19,0.9,0,80
Kyle Connor,F,2,START,HSM,WPG,27,4.5,0,75
Nikolaj Ehlers,F,3,,UFA,WPG,28,2.1,0,62
Frank Vatrano,F,3,,UFA,ANA,30,1,0,51
Charlie Coyle,F,3,,UFA,BOS,32,1.5,0,51
Jamie Benn,F,3,,UFA,DAL,35,1.8,0,60
Mikael Granlund,F,3,,UFA,SJS,32,0.9,0,51
William Karlsson,F,3,START,HSM,VGK,31,1.1,0,55
Pavel Zacha,F,3,START,VPP,BOS,27,1.3,0,60
Alex Tuch,F,RFA2,,RFA,BUF,28,0.8,0,69
Rasmus Dahlin,D,3,START,SHF,BUF,24,5.6,0,72
Yegor Sharangovich,F,3,,UFA,CGY,26,0.7,0,58
Sean Monahan,F,3,,UFA,WPG,29,1,0,52
Oliver Bjorkstrand,F,3,START,SHF,SEA,29,0.5,0,50
Morgan Rielly,D,3,START,MAC,TOR,30,3.2,0,59
